,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_mean,NDVI_stdDev,NDVI_min,NDVI_max,EVI_p25,EVI_p50,EVI_p75,EVI_mean,EVI_stdDev,EVI_min,EVI_max,SAR_mean,SAR_stdDev,SAR_p25,SAR_p50,SAR_p75,SAR_min,SAR_max,NBR_mean,NBR_stdDev,NBR_p25,NBR_p50,NBR_p75,NBR_min,NBR_max,Event
1979,-14.40806931,-16.35512184,-16.32007597,-17.56265583,-4.39890327,-7.230409236,-33.92062865,-18.85754204,-21.76515219,-21.71829634,-23.38883252,-6.039407384,-10.11907752,-55.09355055,0.187203824,0.448411542,0,0,0,0,2,-7.848559695,-10.23347836,-0.202646819,-5.624386245,-5.542420502,22.73233689,-36.28315368,1
1980,-13.33179906,-16.43355043,-16.40620529,-17.1067593,-5.679066765,-5.718016903,-41.37748863,539.8618865,-424.3627352,-424.3627352,109.5014262,-12059.47407,407403.3333,-368313.3333,0.501560715,0.499984741,0,1,1,0,1,-12.03514343,-6.467778356,-7.55085251,-11.0358185,-10.98516992,6.110979113,-43.5042899,1
1981,-6.269202899,-6.651135014,-6.638359625,-6.665980748,-0.76379248,-4.957155572,-25.20214549,-11.91719736,-12.90030455,-12.90030455,-12.842034,1.346063289,-82.28108917,77.74797831,0.479765693,0.681337003,0,0,1,0,2,-10.14721186,-0.983249511,-9.479274698,-10.04072815,-10.02513483,-6.328186217,-23.73260555,1
1982,-21.56372036,-25.45002737,-25.42843672,-26.32276587,-6.480095505,-11.62460904,-54.31741469,-38.00239572,-46.11041544,-45.98565451,-48.09517185,-13.51075722,-26.97043759,-105.2151849,0.027928406,0.215674006,0,0,0,0,2,-21.29427188,-5.415799595,-17.6821391,-20.74890203,-20.68660581,-6.388087658,-49.67382548,1
1983,-3.138960661,-4.335530345,-4.249726484,-4.929704751,-2.621951799,-0.49348416,-21.80323628,248.3636876,248.3636876,248.3636876,53.49831621,-8610.270981,272993.3333,-219862.5,0.051110461,0.271656472,0,0,0,0,2,-10.1719044,-5.275658747,-6.330237514,-9.804354386,-9.73779427,8.975831527,-32.80092382,1
1984,-44.7967525,-53.2531381,-53.13595637,-53.45901068,-11.38336958,-23.00617913,-80.31508702,-102.706314,-130.3740185,-130.0018906,-132.4613757,-34.38019153,-66.77933869,-263.2192581,0.055192912,0.292913276,0,0,0,0,2,-33.90742994,-13.10715349,-25.01396288,-34.24355215,-34.04450796,8.969827457,-64.08034088,1
1985,-44.37164999,-52.82329918,-52.705699,-51.84103393,-15.24392474,-6.476084807,-80.25892026,-109.6148763,-131.3393705,-131.3393705,-131.0533431,-40.38305427,-170.3595923,-644.6263613,0.059561936,0.288827556,0,0,0,0,2,-34.23690564,-17.1831154,-24.23447773,-34.25658183,-34.1081468,15.43150149,-68.90270646,1
1986,-20.30864882,-27.25658948,-27.20156706,-27.92520692,-11.92980296,-4.141247479,-78.43340041,-34.36105359,-46.66832775,-46.55190039,-51.42995384,-37.40185826,1013.905361,-325.5687389,0.082216604,0.358483303,0,0,0,0,2,-17.99689428,-14.10989853,-9.753752957,-14.33485143,-14.24128719,38.7779913,-76.67567266,1
1987,-29.90569871,-36.03440429,-35.97985003,-31.87191905,-23.21567279,46.56258993,-73.02450372,-67.801553,-80.24490231,-80.24490231,-84.64761179,-41.32846176,994.469697,-808.5714286,0.193320361,0.497967139,0,0,0,0,2,-15.90549724,-17.63733319,-2.875381754,-12.15080455,-12.04897986,28.95601117,-68.95243706,1
1988,-13.05008048,-14.00740754,-13.99187199,-14.59164422,-2.900008877,-2.586546521,-38.39389736,-23.03315781,-25.34970347,-25.32622198,-26.39550889,-5.773371092,-5.908271629,-76.30186246,0.096743239,0.379865779,0,0,0,0,2,-3.905389009,-3.818789165,-1.283328917,-4.18599444,-4.160513014,11.11639883,-26.58424823,1
1989,-26.90428667,-37.77997129,-37.67104067,-38.01793583,-11.7524851,-11.63737698,-74.39234909,-49.88272386,-72.36689831,-72.18047459,-75.83059921,-28.05327001,-21.32792162,-204.5502291,0.08972801,0.337709532,0,0,0,0,2,-9.29207325,-13.91165456,2.51425569,-9.889284114,-9.78406887,25.12924586,-56.14122269,1
1990,-15.94650527,-17.88586861,-17.85851631,-18.26568013,-3.194490578,-8.308450173,-33.22406316,-22.72870902,-25.05736251,-25.02210813,-25.96884672,-4.65213792,-14.10080737,-51.96765904,0.023669957,0.190720808,0,0,0,0,2,-8.590238362,-5.66678602,-6.674973753,-8.996325437,-8.967132924,21.82812063,-26.05404617,1
1991,-10.63854178,-11.80266322,-11.78320635,-15.97536445,-11.60041258,-6.951310184,-70.47365732,-18.20717742,-20.51884173,-20.487494,-28.58729218,-24.55323855,-11.74696268,-159.5181934,0.029397195,0.199731059,0,0,0,0,2,0.366011633,-11.82453986,6.368542671,4.83412326,4.861706657,10.62130983,-54.53034971,1
1992,-55.92249285,-62.84765144,-62.7848157,-60.90882488,-9.585553251,-14.86600838,-79.58919102,-118.1432739,-136.6719801,-136.4998654,-133.2232948,-26.22088523,-35.46628285,-195.6420823,0.056835916,0.28309448,0,0,0,0,2,-43.29726056,-11.58904591,-36.23070664,-44.7307373,-44.64893434,5.12911467,-67.32228483,1
